Date	Amount
3/29/1996 16:00:00	0.053516
4/30/1996 16:00:00	0.058257
5/31/1996 16:00:00	0.060211
6/28/1996 16:00:00	0.058643
7/31/1996 16:00:00	0.054805
8/30/1996 16:00:00	0.056907
9/30/1996 16:00:00	0.062980
10/31/1996 16:00:00	0.063892
11/29/1996 16:00:00	0.070554
12/31/1996 16:00:00	0.069168
1/31/1997 16:00:00	0.077236
2/28/1997 16:00:00	0.070983
3/31/1997 16:00:00	0.066236
4/30/1997 16:00:00	0.072346
5/30/1997 16:00:00	0.078943
6/30/1997 16:00:00	0.078456
7/31/1997 16:00:00	0.090298
8/29/1997 16:00:00	0.087208
9/30/1997 16:00:00	0.088679
10/31/1997 16:00:00	0.081999
11/28/1997 16:00:00	0.084136
12/31/1997 16:00:00	0.078976
1/30/1998 16:00:00	0.085008
2/27/1998 16:00:00	0.094381
3/31/1998 16:00:00	0.096018
4/30/1998 16:00:00	0.097731
5/29/1998 16:00:00	0.092936
6/30/1998 16:00:00	0.103767
7/31/1998 16:00:00	0.106355
8/31/1998 16:00:00	0.087655
9/30/1998 16:00:00	0.102956
10/30/1998 16:00:00	0.106657
11/30/1998 16:00:00	0.118135
12/31/1998 16:00:00	0.138559
1/29/1999 16:00:00	0.159876
2/26/1999 16:00:00	0.144101
3/31/1999 16:00:00	0.156873
4/30/1999 16:00:00	0.158383
5/28/1999 16:00:00	0.154249
6/30/1999 16:00:00	0.168728
7/30/1999 16:00:00	0.166069
8/31/1999 16:00:00	0.174445
9/30/1999 16:00:00	0.174449
10/29/1999 16:00:00	0.190212
11/30/1999 16:00:00	0.212990
12/31/1999 16:00:00	0.264940
1/31/2000 16:00:00	0.253986
2/29/2000 16:00:00	0.302259
3/31/2000 16:00:00	0.309980
4/28/2000 16:00:00	0.264844
5/31/2000 16:00:00	0.232201
6/30/2000 16:00:00	0.261668
7/31/2000 16:00:00	0.249840
8/31/2000 16:00:00	0.280851
9/29/2000 16:00:00	0.244857
10/31/2000 16:00:00	0.224007
11/30/2000 16:00:00	0.170274
12/29/2000 16:00:00	0.158383
1/31/2001 16:00:00	0.174584
2/28/2001 16:00:00	0.127947
3/30/2001 16:00:00	0.104973
4/30/2001 16:00:00	0.123249
5/31/2001 16:00:00	0.119007
6/29/2001 16:00:00	0.120459
7/31/2001 16:00:00	0.110305
8/31/2001 16:00:00	0.095807
9/28/2001 16:00:00	0.075912
10/31/2001 16:00:00	0.088233
11/30/2001 16:00:00	0.102718
12/31/2001 16:00:00	0.101055
1/31/2002 16:00:00	0.098880
2/28/2002 16:00:00	0.086340
3/28/2002 16:00:00	0.091886
4/30/2002 16:00:00	0.080383
5/31/2002 16:00:00	0.075693
6/28/2002 16:00:00	0.065575
7/31/2002 16:00:00	0.059717
8/30/2002 16:00:00	0.058213
9/30/2002 16:00:00	0.051202
10/31/2002 16:00:00	0.060558
11/29/2002 16:00:00	0.068009
12/31/2002 16:00:00	0.059707
1/31/2003 16:00:00	0.059355
2/28/2003 16:00:00	0.060716
3/31/2003 16:00:00	0.060973
4/30/2003 16:00:00	0.065904
5/30/2003 16:00:00	0.071052
6/30/2003 16:00:00	0.070953
7/31/2003 16:00:00	0.075037
8/29/2003 16:00:00	0.078455
9/30/2003 16:00:00	0.075914
10/31/2003 16:00:00	0.082066
11/28/2003 16:00:00	0.082181
12/31/2003 16:00:00	0.084330
1/30/2004 16:00:00	0.085404
2/27/2004 16:00:00	0.083758
3/31/2004 16:00:00	0.081528
4/30/2004 16:00:00	0.079066
5/28/2004 16:00:00	0.082367
6/30/2004 16:00:00	0.084812
7/30/2004 16:00:00	0.077953
8/31/2004 16:00:00	0.075824
9/30/2004 16:00:00	0.077909
10/29/2004 16:00:00	0.081616
11/30/2004 16:00:00	0.085878
12/31/2004 16:00:00	0.089013
1/31/2005 16:00:00	0.083077
2/28/2005 16:00:00	0.082265
3/31/2005 16:00:00	0.080329
4/29/2005 16:00:00	0.076632
5/31/2005 16:00:00	0.082826
6/30/2005 16:00:00	0.079880
7/29/2005 16:00:00	0.085479
8/31/2005 16:00:00	0.083811
9/30/2005 16:00:00	0.084482
10/31/2005 16:00:00	0.082916
11/30/2005 16:00:00	0.087420
12/30/2005 16:00:00	0.085805
1/31/2006 16:00:00	0.088837
2/28/2006 16:00:00	0.086393
3/31/2006 16:00:00	0.087726
4/28/2006 16:00:00	0.087213
5/31/2006 16:00:00	0.080614
6/30/2006 16:00:00	0.080062
7/31/2006 16:00:00	0.076384
8/31/2006 16:00:00	0.079544
9/29/2006 16:00:00	0.082977
10/31/2006 16:00:00	0.086497
11/30/2006 16:00:00	0.089021
12/29/2006 16:00:00	0.087041
1/31/2007 16:00:00	0.088409
2/28/2007 16:00:00	0.086537
3/30/2007 16:00:00	0.086705
4/30/2007 16:00:00	0.090976
5/31/2007 16:00:00	0.093473
6/29/2007 16:00:00	0.093405
7/31/2007 16:00:00	0.092881
8/31/2007 16:00:00	0.095130
9/28/2007 16:00:00	0.099667
10/31/2007 16:00:00	0.106185
11/30/2007 16:00:00	0.098624
12/31/2007 16:00:00	0.098102
1/31/2008 16:00:00	0.086247
2/29/2008 16:00:00	0.081388
3/31/2008 16:00:00	0.082802
4/30/2008 16:00:00	0.088687
5/30/2008 16:00:00	0.093572
6/30/2008 16:00:00	0.084245
7/31/2008 16:00:00	0.084393
8/29/2008 16:00:00	0.085072
9/30/2008 16:00:00	0.072162
10/31/2008 16:00:00	0.060099
11/28/2008 16:00:00	0.053167
12/31/2008 16:00:00	0.054148
1/30/2009 16:00:00	0.052515
2/27/2009 16:00:00	0.049495
3/31/2009 16:00:00	0.054643
4/30/2009 16:00:00	0.061314
5/29/2009 16:00:00	0.062854
6/30/2009 16:00:00	0.064449
7/31/2009 16:00:00	0.069619
8/31/2009 16:00:00	0.070246
9/30/2009 16:00:00	0.074034
10/30/2009 16:00:00	0.071457
11/30/2009 16:00:00	0.075429
12/31/2009 16:00:00	0.079146
1/29/2010 16:00:00	0.073766
2/26/2010 16:00:00	0.076738
3/31/2010 16:00:00	0.082308
4/30/2010 16:00:00	0.083703
5/28/2010 16:00:00	0.077163
6/30/2010 16:00:00	0.072378
7/30/2010 16:00:00	0.077222
8/31/2010 16:00:00	0.072871
9/30/2010 16:00:00	0.082198
10/29/2010 16:00:00	0.087001
11/30/2010 16:00:00	0.086315
12/31/2010 16:00:00	0.090161
1/31/2011 16:00:00	0.092363
2/28/2011 16:00:00	0.094767
3/31/2011 16:00:00	0.093946
4/29/2011 16:00:00	0.096142
5/31/2011 16:00:00	0.094448
6/30/2011 16:00:00	0.092323
7/29/2011 16:00:00	0.093415
8/31/2011 16:00:00	0.088156
9/30/2011 16:00:00	0.083922
10/31/2011 16:00:00	0.092168
11/30/2011 16:00:00	0.089225
12/30/2011 16:00:00	0.088484
1/31/2012 16:00:00	0.095455
2/29/2012 16:00:00	0.101017
3/30/2012 16:00:00	0.105781
4/30/2012 16:00:00	0.104114
5/31/2012 16:00:00	0.096053
6/29/2012 16:00:00	0.099284
7/31/2012 16:00:00	0.099845
8/31/2012 16:00:00	0.104224
9/28/2012 16:00:00	0.105103
10/31/2012 16:00:00	0.098969
11/30/2012 16:00:00	0.099633
12/31/2012 16:00:00	0.099122
1/31/2013 16:00:00	0.101289
2/28/2013 16:00:00	0.101132
3/28/2013 16:00:00	0.103879
4/30/2013 16:00:00	0.105906
5/31/2013 16:00:00	0.108844
6/28/2013 16:00:00	0.106083
7/31/2013 16:00:00	0.112132
8/30/2013 16:00:00	0.111005
9/30/2013 16:00:00	0.116064
10/31/2013 16:00:00	0.121211
11/29/2013 16:00:00	0.124619
12/31/2013 16:00:00	0.128164
1/31/2014 16:00:00	0.125090
2/28/2014 16:00:00	0.131280
3/31/2014 16:00:00	0.127424
4/30/2014 16:00:00	0.126359
5/30/2014 16:00:00	0.131220
6/30/2014 16:00:00	0.134923
7/31/2014 16:00:00	0.135781
8/29/2014 16:00:00	0.141763
9/30/2014 16:00:00	0.140306
10/31/2014 16:00:00	0.143356
11/28/2014 16:00:00	0.148932
